Sepal_Length,Sepal_Width,Petal_Length,Petal_Width,Species
0,4118590836,13,SOLO,TOP
1,4118495113,13,DUO_SUPPORT,NONE
2,4118432488,13,DUO_SUPPORT,NONE
3,4118306793,13,SOLO,TOP
4,4105344112,13,DUO_SUPPORT,NONE
5,4104917522,13,SOLO,TOP
6,4104540446,13,DUO_SUPPORT,NONE
7,4104397715,13,DUO_SUPPORT,BOTTOM
8,4104295154,13,DUO_SUPPORT,NONE
9,4104154848,13,SOLO,TOP
10,4104024689,13,SOLO,TOP
11,4102792112,13,SOLO,TOP
12,4102690842,13,SOLO,TOP
13,4102521999,13,SOLO,MID
14,4102199568,13,SOLO,TOP
15,4102058310,13,DUO_CARRY,BOTTOM
16,4102011854,13,SOLO,TOP
17,4100496469,13,SOLO,TOP
18,4100265103,13,SOLO,MID
19,4100114146,13,SOLO,TOP
20,4100021776,13,SOLO,TOP
21,4099924959,13,SOLO,MID
22,4099725896,13,DUO,TOP
23,4098780810,13,DUO_CARRY,MID
24,4098545743,13,SOLO,TOP
25,4098290407,13,SOLO,TOP
26,4098128096,13,SOLO,TOP
27,4098037066,13,DUO,MID
28,4097940461,13,SOLO,TOP
29,4097901995,13,SOLO,TOP
30,4097802217,13,SOLO,TOP
31,4097711398,13,DUO_SUPPORT,NONE
32,4096271690,13,SOLO,TOP
33,4096080028,13,SOLO,TOP
34,4095906810,13,SOLO,MID
35,4095871610,13,DUO_SUPPORT,NONE
36,4095760118,13,SOLO,MID
37,4095573600,13,SOLO,TOP
38,4095376288,13,DUO,NONE
39,4095302082,13,NONE,JUNGLE
40,4094017250,13,SOLO,MID
41,4093954215,13,DUO_SUPPORT,BOTTOM
42,4093800772,13,DUO,MID
43,4093660825,13,DUO,MID
44,4093483724,13,DUO,MID
45,4093135544,13,DUO,TOP
46,4092836986,13,DUO,MID
47,4092750199,13,SOLO,TOP
48,4092616382,13,SOLO,TOP
49,4091907791,13,DUO,MID
50,4091719926,13,SOLO,TOP
51,4091534205,13,SOLO,MID
52,4091247623,13,SOLO,TOP
53,4090985838,13,SOLO,TOP
54,4090970419,13,SOLO,TOP
55,4090785260,13,SOLO,TOP
56,4090670526,13,DUO,TOP
57,4090529477,13,SOLO,TOP
58,4090479623,13,NONE,JUNGLE
59,4090491709,13,NONE,JUNGLE
60,4090316526,13,DUO,NONE
61,4088865446,13,SOLO,TOP
62,4088770493,13,NONE,JUNGLE
63,4088731445,13,DUO,NONE
64,4088568997,13,SOLO,TOP
65,4088519342,13,DUO,TOP
66,4088348183,13,SOLO,TOP
67,4088312491,13,SOLO,TOP
68,4088197642,13,DUO,TOP
69,4088120804,13,SOLO,TOP
70,4086130272,13,NONE,JUNGLE
71,4086003247,13,DUO_SUPPORT,NONE
72,4085938576,13,DUO_SUPPORT,NONE
73,4085924373,13,DUO_CARRY,BOTTOM
74,4085916687,13,DUO_CARRY,BOTTOM
75,4085911855,13,DUO_CARRY,BOTTOM
76,4085635367,13,SOLO,TOP
77,4085296337,13,SOLO,TOP
78,4085219563,13,NONE,JUNGLE
79,4085154116,13,SOLO,TOP
80,4085075412,13,SOLO,TOP
81,4084960206,13,DUO_SUPPORT,NONE
82,4084851210,13,SOLO,TOP
83,4084802164,13,DUO,MID
84,4084661471,13,DUO_SUPPORT,NONE
85,4084580736,13,SOLO,TOP
86,4084521370,13,SOLO,MID
87,4084432556,13,SOLO,TOP
88,4084263190,13,SOLO,TOP
89,4084008744,13,SOLO,TOP
90,4084021257,13,DUO_SUPPORT,NONE
91,4083904982,13,NONE,JUNGLE
92,4083467488,13,NONE,JUNGLE
93,4083337723,13,DUO,MID
94,4083370792,13,DUO,NONE
95,4083300728,13,SOLO,TOP
96,4083098028,13,SOLO,TOP
97,4083052538,13,SOLO,MID
98,4082951539,13,DUO_SUPPORT,NONE
99,4082783260,13,NONE,JUNGLE
0,4210322448,13,DUO_CARRY,BOTTOM
1,4209372132,13,DUO_CARRY,BOTTOM
2,4209234345,13,DUO_CARRY,BOTTOM
3,4209052195,13,DUO,NONE
4,4208873115,13,DUO_CARRY,BOTTOM
5,4208646221,13,DUO_CARRY,BOTTOM
6,4208432716,13,DUO_CARRY,BOTTOM
7,4208294656,13,DUO_CARRY,BOTTOM
8,4208183709,13,DUO_CARRY,BOTTOM
9,4208093718,13,DUO,NONE
10,4207617108,13,SOLO,TOP
11,4207670053,13,DUO_CARRY,BOTTOM
12,4207425321,13,DUO_CARRY,BOTTOM
13,4207338587,13,DUO_CARRY,BOTTOM
14,4207361443,13,DUO,TOP
15,4206906921,13,DUO_CARRY,BOTTOM
16,4206886882,13,DUO_CARRY,BOTTOM
17,4206830119,13,DUO_CARRY,BOTTOM
18,4206398450,13,DUO_CARRY,BOTTOM
19,4206129378,13,DUO_CARRY,BOTTOM
20,4205938021,13,DUO,NONE
21,4204121304,13,NONE,JUNGLE
22,4203978889,13,DUO_CARRY,BOTTOM
23,4203889067,13,DUO_SUPPORT,NONE
24,4202556832,13,SOLO,BOTTOM
25,4202480304,13,DUO_CARRY,BOTTOM
26,4202430240,13,DUO,NONE
27,4202315616,13,DUO,NONE
28,4202091313,13,DUO_CARRY,BOTTOM
29,4201535624,13,DUO_CARRY,BOTTOM
30,4201322308,13,DUO_CARRY,BOTTOM
31,4201218447,13,DUO_SUPPORT,NONE
32,4201116153,13,DUO,BOTTOM
33,4201045445,13,DUO_CARRY,BOTTOM
34,4200927670,13,DUO,NONE
35,4199713465,13,DUO_CARRY,BOTTOM
36,4199610184,13,DUO_CARRY,BOTTOM
37,4199476811,13,DUO_CARRY,BOTTOM
38,4196682205,13,DUO_SUPPORT,NONE
39,4195461386,13,DUO_SUPPORT,NONE
40,4195406607,13,DUO_CARRY,BOTTOM
41,4195441590,13,DUO_CARRY,BOTTOM
42,4193142612,13,DUO_CARRY,BOTTOM
43,4193084913,13,DUO_CARRY,BOTTOM
44,4193060801,13,DUO_SUPPORT,NONE
45,4192913563,13,DUO_CARRY,BOTTOM
46,4191387376,13,DUO_CARRY,BOTTOM
47,4190743345,13,DUO_CARRY,BOTTOM
48,4190674405,13,DUO_CARRY,BOTTOM
49,4190644125,13,DUO_CARRY,BOTTOM
50,4190515430,13,DUO_CARRY,BOTTOM
51,4190406342,13,DUO_CARRY,BOTTOM
52,4188804640,13,DUO_CARRY,BOTTOM
53,4188763249,13,DUO_CARRY,BOTTOM
54,4188627784,13,SOLO,BOTTOM
55,4188630128,13,DUO,NONE
56,4188379730,13,DUO,TOP
57,4187825130,13,DUO_CARRY,BOTTOM
58,4187713632,13,DUO_CARRY,BOTTOM
59,4187642592,13,DUO_CARRY,BOTTOM
60,4187576223,13,DUO,NONE
61,4187519372,13,DUO_SUPPORT,NONE
62,4187118612,13,DUO_SUPPORT,NONE
63,4186949462,13,DUO_CARRY,BOTTOM
64,4186851673,13,DUO,NONE
65,4186691110,13,DUO_CARRY,BOTTOM
66,4181712599,13,DUO,TOP
67,4181579145,13,DUO_CARRY,BOTTOM
68,4181540905,13,DUO_CARRY,BOTTOM
69,4181265854,13,DUO_SUPPORT,NONE
70,4181117122,13,DUO_CARRY,BOTTOM
71,4180432007,13,DUO_CARRY,BOTTOM
72,4179681971,13,SOLO,BOTTOM
73,4179452931,13,DUO_CARRY,BOTTOM
74,4179309838,13,DUO_CARRY,BOTTOM
75,4179314480,13,DUO_CARRY,BOTTOM
76,4179267890,13,NONE,JUNGLE
77,4179148263,13,DUO_CARRY,BOTTOM
78,4179180545,13,DUO_CARRY,BOTTOM
79,4178993763,13,DUO_CARRY,BOTTOM
80,4178900955,13,DUO,MID
81,4178129394,13,DUO_CARRY,BOTTOM
82,4178170835,13,DUO_CARRY,BOTTOM
83,4177053917,13,NONE,JUNGLE
84,4176928593,13,DUO_CARRY,BOTTOM
85,4176962525,13,DUO_CARRY,BOTTOM
86,4176808038,13,DUO_CARRY,BOTTOM
87,4176800632,13,DUO_CARRY,BOTTOM
88,4176434723,13,DUO_SUPPORT,NONE
89,4176271811,13,DUO_CARRY,BOTTOM
90,4176147494,13,DUO,MID
91,4176068619,13,DUO_CARRY,BOTTOM
92,4176040700,13,DUO_CARRY,BOTTOM
93,4175962274,13,DUO_CARRY,BOTTOM
94,4175854925,13,DUO_CARRY,BOTTOM
95,4175797705,13,DUO_CARRY,BOTTOM
96,4175757714,13,DUO_CARRY,BOTTOM
97,4175554565,13,DUO_CARRY,BOTTOM
98,4175417549,13,DUO_CARRY,BOTTOM
99,4175089626,13,DUO_CARRY,BOTTOM
0,4214366208,13,DUO_SUPPORT,BOTTOM
1,4214361102,13,SOLO,BOTTOM
2,4214305053,13,NONE,JUNGLE
3,4213865508,13,DUO,MID
4,4213578403,13,DUO_SUPPORT,BOTTOM
5,4213532270,13,DUO_SUPPORT,BOTTOM
6,4213470313,13,DUO_SUPPORT,BOTTOM
7,4213391908,13,DUO_SUPPORT,NONE
8,4213255019,13,DUO_SUPPORT,NONE
9,4212926342,13,DUO_SUPPORT,BOTTOM
10,4211647338,13,DUO_SUPPORT,BOTTOM
11,4211663289,13,DUO_SUPPORT,BOTTOM
12,4211557534,13,DUO_SUPPORT,BOTTOM
13,4211491708,13,SOLO,TOP
14,4211414401,13,SOLO,TOP
15,4211326214,13,DUO_SUPPORT,BOTTOM
16,4211163459,13,DUO_SUPPORT,BOTTOM
17,4210725194,13,DUO_SUPPORT,BOTTOM
18,4210607036,13,DUO_SUPPORT,BOTTOM
19,4202279804,13,DUO_SUPPORT,BOTTOM
20,4202272831,13,DUO_SUPPORT,NONE
21,4202146101,13,DUO_SUPPORT,BOTTOM
22,4199777189,13,DUO_SUPPORT,MID
23,4199097681,13,DUO_SUPPORT,BOTTOM
24,4195441590,13,DUO_SUPPORT,BOTTOM
25,4195372238,13,DUO_SUPPORT,NONE
26,4195281197,13,DUO_SUPPORT,MID
27,4195138604,13,DUO_SUPPORT,BOTTOM
28,4193114165,13,DUO_SUPPORT,MID
29,4192401716,13,DUO_SUPPORT,BOTTOM
30,4190860735,13,DUO_SUPPORT,BOTTOM
31,4190803739,13,DUO_SUPPORT,BOTTOM
32,4190688784,13,DUO_SUPPORT,BOTTOM
33,4190660384,13,DUO_SUPPORT,BOTTOM
34,4190575102,13,DUO_CARRY,BOTTOM
35,4188630128,13,DUO_SUPPORT,NONE
36,4188379730,13,DUO_SUPPORT,MID
37,4188169087,13,DUO_SUPPORT,BOTTOM
38,4186343383,13,DUO_SUPPORT,BOTTOM
39,4186224914,13,DUO_SUPPORT,BOTTOM
40,4183831545,13,SOLO,TOP
41,4183714923,13,NONE,JUNGLE
42,4183495921,13,DUO_SUPPORT,BOTTOM
43,4183404231,13,DUO_SUPPORT,MID
44,4182304805,13,DUO_SUPPORT,BOTTOM
45,4182256309,13,DUO_SUPPORT,NONE
46,4181156732,13,DUO_SUPPORT,BOTTOM
47,4181067737,13,DUO_SUPPORT,BOTTOM
48,4179312302,13,DUO,TOP
49,4177045514,13,DUO_SUPPORT,BOTTOM
50,4176929766,13,NONE,JUNGLE
51,4176914297,13,DUO_SUPPORT,BOTTOM
52,4176808038,13,DUO_SUPPORT,BOTTOM
53,4176519720,13,DUO_SUPPORT,TOP
54,4176438414,13,DUO,NONE
55,4175735779,13,DUO_SUPPORT,BOTTOM
56,4175550158,13,DUO_SUPPORT,MID
57,4175218190,13,DUO_SUPPORT,MID
58,4175089626,13,DUO_SUPPORT,BOTTOM
59,4175028167,13,DUO_SUPPORT,BOTTOM
60,4174736476,13,DUO,BOTTOM
61,4174684881,13,DUO_SUPPORT,BOTTOM
62,4173161793,13,DUO_SUPPORT,BOTTOM
63,4173133974,13,SOLO,BOTTOM
64,4172996959,13,DUO_SUPPORT,NONE
65,4172473100,13,DUO_SUPPORT,BOTTOM
66,4172436633,13,DUO_SUPPORT,BOTTOM
67,4172412462,13,DUO_SUPPORT,BOTTOM
68,4172346448,13,DUO_SUPPORT,BOTTOM
69,4172332427,13,DUO_SUPPORT,NONE
70,4172244846,13,SOLO,BOTTOM
71,4172199199,13,DUO_SUPPORT,NONE
72,4169246083,13,DUO_SUPPORT,BOTTOM
73,4165750932,13,DUO_SUPPORT,MID
74,4165607629,13,DUO_SUPPORT,BOTTOM
75,4165640922,13,DUO_SUPPORT,BOTTOM
76,4165554633,13,DUO_SUPPORT,BOTTOM
77,4165514756,13,DUO_SUPPORT,BOTTOM
78,4164421518,13,DUO_SUPPORT,MID
79,4161493778,13,DUO_SUPPORT,BOTTOM
80,4161472099,13,DUO_SUPPORT,NONE
81,4159528461,13,DUO_SUPPORT,BOTTOM
82,4159504525,13,DUO_SUPPORT,BOTTOM
83,4159474153,13,DUO_SUPPORT,NONE
84,4159435081,13,DUO_SUPPORT,BOTTOM
85,4159354165,13,NONE,JUNGLE
86,4159249194,13,DUO,TOP
87,4158181766,13,DUO_SUPPORT,BOTTOM
88,4158091308,13,DUO_SUPPORT,BOTTOM
89,4157974686,13,DUO_SUPPORT,BOTTOM
90,4154016593,13,SOLO,TOP
91,4153691050,13,DUO_SUPPORT,BOTTOM
